2025-10-17 11:13:40.175 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-17 11:13:40.481 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat started on port 8080 (http) with context path '/mybank'
2025-10-17 11:13:40.489 [main] INFO  c.m.onboarding.OnboardingApplication - [] Started OnboardingApplication in 3.519 seconds (process running for 3.805)
2025-10-17 11:14:27.978 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - [] Commencing graceful shutdown. Waiting for active requests to complete
2025-10-17 11:14:27.984 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - [] Graceful shutdown complete
2025-10-17 11:14:27.987 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown initiated...
2025-10-17 11:14:27.989 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown completed.
2025-10-17 11:20:37.890 [main] INFO  c.m.onboarding.OnboardingApplication - [] Starting OnboardingApplication using Java 23.0.1 with PID 38944 (C:\Users\Lucas\Documents\Projects\testes\onboarding\target\classes started by Lucas in C:\Users\Lucas\Documents\Projects\testes\onboarding)
2025-10-17 11:20:37.892 [main] INFO  c.m.onboarding.OnboardingApplication - [] No active profile set, falling back to 1 default profile: "default"
2025-10-17 11:20:39.118 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat initialized with port 8080 (http)
2025-10-17 11:20:39.189 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [] Root WebApplicationContext: initialization completed in 1247 ms
2025-10-17 11:20:39.347 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Starting...
2025-10-17 11:20:39.524 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2a50b32d
2025-10-17 11:20:39.525 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Start completed.
2025-10-17 11:20:40.880 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-17 11:20:41.172 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat started on port 8080 (http) with context path '/mybank'
2025-10-17 11:20:41.179 [main] INFO  c.m.onboarding.OnboardingApplication - [] Started OnboardingApplication in 3.737 seconds (process running for 4.025)
2025-10-17 11:21:38.582 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - [] Commencing graceful shutdown. Waiting for active requests to complete
2025-10-17 11:21:38.591 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - [] Graceful shutdown complete
2025-10-17 11:21:38.594 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown initiated...
2025-10-17 11:21:38.600 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Shutdown completed.
2025-10-17 11:21:43.155 [main] INFO  c.m.onboarding.OnboardingApplication - [] Starting OnboardingApplication using Java 23.0.1 with PID 8436 (C:\Users\Lucas\Documents\Projects\testes\onboarding\target\classes started by Lucas in C:\Users\Lucas\Documents\Projects\testes\onboarding)
2025-10-17 11:21:43.157 [main] INFO  c.m.onboarding.OnboardingApplication - [] No active profile set, falling back to 1 default profile: "default"
2025-10-17 11:21:44.286 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - [] Tomcat initialized with port 8080 (http)
2025-10-17 11:21:44.351 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - [] Root WebApplicationContext: initialization completed in 1146 ms
2025-10-17 11:21:44.506 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Starting...
2025-10-17 11:21:44.659 [main] INFO  com.zaxxer.hikari.pool.HikariPool - [] HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@335f5c69
2025-10-17 11:21:44.660 [main] INFO  com.zaxxer.hikari.HikariDataSource - [] HikariPool-1 - Start completed.
